w_id,s_id,idx,viet,viet_similar_words,eng,eng_similar_words
58,41,4,hai,"một số, mexico",two,"some, mexico"
59,43,5,e,"d, o",e,"d, o"
60,43,6,t,"mt, mt",t,"mt, mt"
61,44,4,tuần,"bận tâm, thống nhất",week,"bother, unified"
62,44,18,visa,"phát thanh, se",visa,"radio, se"
63,46,3,nguy hiểm,"điều khiển, vào cuộc",danger,"control, in"
64,47,8,máy tính,"ô tô, âm thanh",computer,"car, sound"
65,47,6,duy nhất,"bận tâm, nặng nề",only,"bother, heavy"
66,48,9,tắm,"tưới, cửa hàng",take a shower,"water, shop"
67,48,6,hát,"đọc, giọng",sing,"read, tone"
68,49,6,lựa chọn,"chọn, lạm dụng",select,"select, abuse"
69,49,3,tiền,"sân bay, đâu",money,"airport, where"
70,50,2,chán nản,"vô lý, dự tính",bored,"unreasonable, expected"
71,50,1,trở nên,"ngày nay, nhu cầu",become,"nowadays, demand"
72,51,8,khủng khiếp,"đụng độ, rải rác",terrible,"encounter, scattered"
73,51,3,gọi,"chuyện, bị cáo",call,"story, accused"
74,52,4,trọng lượng,"thực phẩm, hư hỏng",weight,"food, damage"
75,54,2,phân biệt,"chỉ đạo, phần lớn",distinguish,"direct, largely"
76,54,4,sai,"nhà máy, thua",wrong,"factory, lose"
77,55,5,xe,"dự án, chuồng",car,"project, cage"
78,55,10,gia đình,"sinh viên, tài liệu",family,"student, document"
79,56,1,tom,"hợp đồng, tháo",Tom,"contract, remove"
80,56,5,can đảm,"gián, nhợt nhạt",courageous,"cockroach, pale"
81,61,6,bảy,"tám, mười",seven,"eight, ten"
82,62,8,hạnh phúc,"khập khiễng, tiến bộ",happy,"lame, progress"
83,62,2,chúc,"gợi ý, tiêu chí",wish,"suggest, criterion"
84,63,8,váy,"tóc, khăn",dress,"hair, towel"
85,63,2,tom,"hợp đồng, tháo",Tom,"contract, remove"
86,64,2,hầu như,"tột cùng, có mặt",almost,"ultimate, present"
87,64,5,mưa,"hè, trường",rain,"summer, school"
88,65,3,chiến đấu,"du lịch, kỹ thuật",fight,"tourism, technique"
89,65,2,mary,"tony, mari",Mary,"tony, mari"
90,67,4,ngọt ngào,"giai thoại, khốn khổ",sweet,"anecdote, miserable"
91,67,3,mơ,"dự định, câu chuyện",dream,"plan, story"
92,68,5,một mình,"đất nước, lặng lẽ",alone,"country, quiet"
93,69,1,cửa hàng,"sân bay, mic",shop,"airport, mic"
94,69,6,tuần,"bận tâm, thống nhất",week,"bother, unified"
95,70,3,tennis,"đường thẳng, tôn giáo",tennis,"straight line, religion"
96,71,3,100,"50, 80",100,"50, 80"
97,71,5,có mặt,"chuyến, giới",present,"trip, gender"
98,72,4,tom,"hợp đồng, tháo",Tom,"contract, remove"
99,73,6,đi,"mọi, mất",Go,"all, lost"
100,73,5,chán nản,"vô lý, dự tính",bored,"unreasonable, expected"
101,74,2,tắm,"tưới, cửa hàng",take a shower,"water, shop"
102,74,4,bồn tắm,"báo thức, tay trái",bathtub,"alarm, left hand"
103,75,1,chăm sóc,"đào tạo, điều trị",take care of,"train, treatment"
104,75,2,da,"loại, mặt",skin,"type, face"
105,76,3,bầu,"cổ, ngô",elected,"neck, corn"
106,76,5,ủy ban,"ủy ban, công ty mẹ",committee,"committee, parent company"
107,77,5,chó,"chim, gậy",dog,"bird, stick"
108,78,2,thông qua,"bình chọn, đồng ý",through,"vote, agree"
109,78,4,mary,"tony, mari",Mary,"tony, mari"
110,79,4,nhà thờ,"nó, khách sạn",church,"it, hotel"
111,79,6,điển hình,"giả mạo, thể hiện",typical,"fake, show"
112,80,1,kiểm tra,"mặt nạ, theo dõi",check,"mask, monitor"
113,80,2,email,"tay trái, dao cạo",e-mail,"left hand, razor"
114,81,8,nói chuyện,"vẽ, chợ",talk,"draw, market"
115,81,3,cắt,"cây, thuế",cut,"tree, tax"
116,82,1,ông già,"bơ, tưởng tượng",old man,"butter, imagine"
117,82,6,tiếng,"điều, fax",language,"thing, fax"
118,83,3,món,"nở, năng lực",dish,"bloom, capacity"
119,83,4,quà,"muối, cặp",gift,"salt, bag"
120,84,11,đường,"điện, đất",road,"electricity, land"
121,84,9,kem,"bò, ace",cream,"cow, ace"
122,85,6,chi tiêu,"thất bại, tuổi trẻ",spending,"failure, youth"
123,86,9,biển,"đỏ, mù",sea,"red, blind"
124,86,2,ta,"người, khác",I,"people, other"
125,87,3,trường,"thuyền, vực",school,"boat, area"
126,88,4,trễ,"đắng, trúng",late,"bitter, hit"
127,89,7,tin tức,"giá cả, ngập lụt",news,"price, flood"
128,89,5,ngạc nhiên,"thích thú, tột cùng",surprised,"enjoy, ultimate"
129,90,4,mary,"tony, mari",Mary,"tony, mari"
130,90,6,john,"johnson, jill",John,"johnson, jill"
131,91,3,dường như,"chấp nhận, nghiêm trọng",seemingly,"accept, serious"
132,91,2,mary,"tony, mari",Mary,"tony, mari"
133,93,2,gọi,"chuyện, bị cáo",call,"story, accused"
134,93,3,người yêu,"tình nhân, em gái",lover,"mistress, younger sister"
135,94,5,gọi,"chuyện, bị cáo",call,"story, accused"
136,94,6,điện,"đường, năng lượng",electricity,"road, energy"
137,95,3,nói chuyện,"vẽ, chợ",talk,"draw, market"
138,95,12,xảy,"ngay, mất",occur,"right, lost"
139,96,11,kiểm tra,"mặt nạ, theo dõi",check,"mask, monitor"
140,96,8,phụ thuộc,"hiện tại, vận chuyển",dependent,"present, transport"
141,97,8,trời,"hè, nắng",God,"summer, sunny"
142,97,10,mưa,"hè, trường",rain,"summer, school"
143,98,1,hôm qua,"lặng lẽ, sáng",Yesterday,"quiet, bright"
144,99,3,từ bỏ,"chẳng, một cách",give up,"not, one -way"
145,99,4,kế hoạch,"bất tỉnh, mẹ",plan,"unconscious, mom"
146,100,5,tom,"hợp đồng, tháo",Tom,"contract, remove"
147,100,3,hẹn hò,"mệt, nhỏ nhặt",dating,"tired, small"
148,101,4,hợp,"trước, thêm",fit,"before, more"
149,102,3,nước ngoài,"quê, thủ đô",foreign,"countryside, capital"
150,103,4,mạo hiểm,"golf, bản án",venture,"golf, judgment"
151,104,3,giành,"hình phạt, lặng lẽ",gain,"penalty, quiet"
152,105,3,sống,"đời, tiện lợi",living,"lifetime, convenient"
153,105,5,boston,"bầu dục, chicago",Boston,"oval, chicago"
154,106,3,đi,"mọi, mất",Go,"all, lost"
155,107,7,trăng,"nhỏ nhặt, mệt",moon,"small, tired"
156,107,5,tận hưởng,"cảm giác, thân thiện",enjoy,"feeling, friendly"
157,108,11,lập tức,"cực kỳ, giây phút",instantly,"extremely, minute"
158,108,8,rời,"nghỉ, từ bỏ",remove,"rest, give up"
159,109,2,ước,"đa số, báo",wish,"majority, newspaper"
160,109,6,trí nhớ,"vải, mái tóc",memory,"fabric, hair"
161,110,1,tai,"nhìn, mic",ears,"look, mic"
162,110,4,tổn thương,"khác biệt, hẹn",damage,"distinctive, appointment"
163,111,4,đi,"mọi, mất",Go,"all, lost"
164,111,6,mỹ,"tiễn, tạ",America,"see, dumbbell"
165,112,3,kích động,"yên tĩnh, rác",agitation,"quiet, garbage"
166,113,9,xảy,"ngay, mất",occur,"right, lost"
167,113,3,xung quanh,"điều khiển, nguy hiểm",around,"control, danger"
168,114,5,chiến tranh,"báo chí, thức ăn",war,"press, food"
169,114,4,đe dọa,"học hóa, công nghiệp hóa",threat,"chemical, industrialization"
170,115,5,vui,"hỗn loạn, rẻ",fun,"chaotic, cheap"
171,115,7,giúp,"làm, bị",help,"do, bag"
172,116,7,bác sĩ,"bệnh viện, tính cách",doctor,"hospital, character"
173,117,5,kẻ thù,"đối thủ, vô lý",enemy,"competitor, unreasonable"
174,117,2,hai,"một số, mexico",two,"some, mexico"
175,118,4,nghỉ việc,"sau, doanh nghiệp",quit one's job,"after, business"
176,118,3,quyết định,"tỷ lệ, ánh",decision,"proportion, light"
177,119,3,cố gắng,"bận rộn, cuộc sống",try,"busy, life"
178,119,5,chìa khóa,"khỏa, hóa",key,"nude, chemical"
179,120,3,vé,"thu, hộ chiếu",ticket,"collect, passport"
180,124,7,nghiêm trọng,"chấp nhận, dường như",serious,"accept, seemingly"
181,124,4,tom,"hợp đồng, tháo",Tom,"contract, remove"
182,125,2,ánh,"chuyến, trở ngại",light,"trip, obstacle"
183,125,3,trăng,"nhỏ nhặt, mệt",moon,"small, tired"
184,126,9,nấu ăn,"lái xe, cơm",cook,"drive, rice"
185,126,5,chuyên gia,"gương, hỏi thăm",expert,"mirror, ask about"
186,127,7,biển,"đỏ, mù",sea,"red, blind"
187,127,4,thú vị,"gọn gàng, tụ tập",interesting,"succinct, gather"
188,128,2,ước,"đa số, báo",wish,"majority, newspaper"
189,128,5,đi,"mọi, mất",Go,"all, lost"
190,129,7,suốt,"tham gia, cố gắng",transparent,"join, try"
191,129,6,lầu,"trái, thổ dân",floor,"left, native"
192,130,2,xin lỗi,"gia đình, hài lòng",Sorry,"family, satisfied"
193,131,2,sẵn sàng,"liên tục, hoặc",ready,"continuous, or"
194,132,8,bắn,"nhà máy, mặc",shoot,"factory, wear"
195,132,9,đội hình,"hồ sơ, nguyên liệu",squad,"file, ingredient"
196,133,3,ba mươi,"thứ sáu, thứ bảy",thirty,"friday, saturday"
197,133,1,tom,"hợp đồng, tháo",Tom,"contract, remove"
198,134,5,mary,"tony, mari",Mary,"tony, mari"
199,134,1,cố gắng,"bận rộn, cuộc sống",try,"busy, life"
200,136,6,bữa,"thực đơn, hàng ngũ",meal,"menu, rank"
201,136,10,hôm nay,"sợ hãi, mùa",Today,"scared, season"
202,137,1,lái xe,"lái, nấu ăn",drive,"driving, cook"
203,138,2,câu,"gương, chứng",sentence,"mirror, proof"
204,138,3,cá,"điện thoại, ann",fish,"phone, ann"
205,139,10,tổng hợp,"tối cao, sẽ",synthetic,"supreme, will"
206,139,11,hạt nhân,"tình, thổ dân",nuclear,"love, native"
207,140,9,hèn nhát,"tuýp, hộ tống",cowardly,"tube, escort"
208,140,3,chế giễu,"cánh tay, sỉ nhục",mock,"arm, insult"
209,141,7,đi,"mọi, mất",Go,"all, lost"
210,141,2,chó,"chim, gậy",dog,"bird, stick"
211,142,9,len,"vuông, chữ",wool,"square, letter"
212,142,2,giúp,"làm, bị",help,"do, bag"
213,145,4,đau lòng,"đau đớn, hạn hán",heartbreaking,"painful, drought"
214,146,5,bác sĩ,"bệnh viện, tính cách",doctor,"hospital, character"
215,147,2,chụp,"điều khiển, điện thoại",capture,"control, phone"
216,147,3,ảnh,"biểu hiện, kinh khủng",image,"expression, terrible"
217,148,3,chỗ,"lỗ, bạn",place,"hole, friend"
218,148,1,phàn nàn,"bận tâm, cấu hình",complain,"bother, configuration"
219,149,9,lỗi,"cân bằng, cân đối",error,"balance, balanced"
220,150,3,tom,"hợp đồng, tháo",Tom,"contract, remove"
221,150,5,sợ,"mùa, cơn",scared,"season, attack"
222,151,5,ghế,"đảo, đất",chair,"island, land"
223,151,4,băng,"tiễn, sàn",ice,"see, floor"
224,152,6,câu,"gương, chứng",sentence,"mirror, proof"
225,153,3,cũ,"tiếp diễn, nóng",old,"continue, hot"
226,153,2,thủ đô,"quê, tốc độ",capital,"countryside, speed"
227,154,3,tặng,"dây, đánh bại",donate,"wire, defeat"
228,154,9,ngày sinh nhật,"nửa đêm, gia cư",birthday,"midnight, household"
229,155,6,nhật,"quỹ, kì",Japan,"fund, period"
230,155,4,nước ngoài,"quê, thủ đô",foreign,"countryside, capital"
231,156,7,đứa,"tàu, trạm",junior,"ship, station"
232,156,1,công việc,"nhà tù, cảm xúc",job,"prison, feeling"
233,157,13,quần áo,"ngôn ngữ, công nhân",clothes,"language, worker"
234,157,12,mặc,"đau đầu, tuyên bố",wear,"headache, declare"
235,158,5,nói chuyện,"vẽ, chợ",talk,"draw, market"
236,160,6,bút chì,"cánh tay, bánh quy",pencil,"arm, cookies"
237,161,8,tom,"hợp đồng, tháo",Tom,"contract, remove"
238,162,4,hình ảnh,"họp báo, ngưỡng mộ",image,"press conference, admire"
239,162,7,tom,"hợp đồng, tháo",Tom,"contract, remove"
240,164,8,bữa,"thực đơn, hàng ngũ",meal,"menu, rank"
241,164,6,vui vẻ,"bạn bè, tụ tập",happy,"friend, gather"
242,166,5,vĩnh viễn,"vững, tuổi trẻ",permanent,"stable, youth"
243,166,1,công việc,"nhà tù, cảm xúc",job,"prison, feeling"
244,167,5,giàu,"đại, nổi tiếng",rich,"grand, famous"
245,167,3,mary,"tony, mari",Mary,"tony, mari"
246,168,4,chuyến,"vô địch, thua",trip,"champion, lose"
247,168,5,bay,"mái, trẻ",fly,"roof, young"
248,172,6,văn phòng,"lỗ, trụ sở",office,"hole, headquarters"
249,173,6,khác biệt,"tổn thương, cuộc sống",distinctive,"damage, life"
250,174,6,tám,"bảy, mười",eight,"seven, ten"
251,176,2,mary,"tony, mari",Mary,"tony, mari"
252,176,4,kết hôn,"nổ, cổ phiếu",marry,"explode, share"
253,177,5,mary,"tony, mari",Mary,"tony, mari"
254,177,1,kéo,"cắn, khói",drag,"bite, smoke"
255,178,11,đón,"tinh thần, cởi",pick up,"spirit, unpaired"
256,178,6,tom,"hợp đồng, tháo",Tom,"contract, remove"
257,179,10,đi,"mọi, mất",Go,"all, lost"
258,179,2,nhặt,"hối hận, vô lý",picked,"regret, unreasonable"
259,180,10,bé,"máu, sách",little,"blood, book"
260,180,5,sinh,"chỉ đạo, ôm",born,"direct, hug"
261,181,7,tom,"hợp đồng, tháo",Tom,"contract, remove"
262,181,3,già,"thối, chứng",old,"rotten, proof"
263,182,5,máy giặt,"quán, vodka",washing machine,"shop, vodka"
264,183,2,to,"trừ, chống",big,"apart from, resist"
265,183,1,hơi,"kể, kêu",steam,"tell, call"
266,184,3,đối xử,"bạo lực, ăn mừng",treat,"violent, celebration"
267,184,4,công bằng,"hiệu quả, trẻ em",fair,"effective, children"
268,185,1,cảnh sát,"bệnh viện, tạp chí",police,"hospital, magazine"
269,185,3,xem xét,"mô tả, phụ trách",consider,"describe, in charge"
270,187,2,ta,"người, khác",I,"people, other"
271,188,5,nhiệm vụ,"cố, đình trệ",mission,"try, stagnant"
272,189,5,ta,"người, khác",I,"people, other"
273,189,7,cảnh sát,"bệnh viện, tạp chí",police,"hospital, magazine"
274,190,3,liên lạc,"đàm phán, cảm nhận",contact,"negotiate, feel"
275,190,2,bí mật,"khám phá, điện tử",secret,"discover, electronic"
276,191,7,thiếu niên,"truyện, trò chuyện",young,"story, chat"
277,191,4,hấp dẫn,"thậm chí, tình hình",attractive,"even, situation"
278,192,2,nghèo,"vô lý, đối thủ",poor,"unreasonable, competitor"
279,193,1,tom,"hợp đồng, tháo",Tom,"contract, remove"
280,193,2,chờ đợi,"mong chờ, mong đợi",wait,"expected, expectation"
281,194,1,quên,"thương, cảm giác",forget,"love, feeling"
282,194,4,máy ảnh,"giấy, chất lỏng",camera,"paper, liquid"
283,195,4,biết điều,"a, sang",know,"a, luxurious"
284,195,6,có nghĩa là,"có nghĩa, khẩu hiệu",means,"meaning, slogan"
285,196,4,hôm nay,"sợ hãi, mùa",Today,"scared, season"
286,196,1,lớp học,"chuỗi, đầy",class,"string, full"
287,197,6,tom,"hợp đồng, tháo",Tom,"contract, remove"
288,197,4,nói chuyện,"vẽ, chợ",talk,"draw, market"
289,198,7,cuộc đời,"câu chuyện, đời",lifetime,"story, lifetime"
290,198,2,sách,"golf, đèn",book,"golf, lamp"
291,199,3,dọn dẹp,"lãng quên, cắn",clean up,"oblivion, bite"
292,199,5,hỗn độn,"cháy, môi trường",mess,"on fire, environment"
293,200,8,cam,"hoa, cậu",Orange,"flower, uncle"
294,200,9,pha,"hiệu quả, món",phase,"effective, dish"
295,201,9,rác,"đèn pha, kích động",garbage,"headlight, agitation"
296,201,10,vô dụng,"bất tử, lãng phí",useless,"immortal, waste"
297,202,3,sống,"đời, tiện lợi",living,"lifetime, convenient"
298,203,4,bảo,"thổi, cái",tell,"blow, female"
299,203,7,tham gia,"cố gắng, của",join,"try, belong to"
300,204,2,chằm chằm,"dỗ, fax",stare,"coax, fax"
301,205,6,bắt,"lau, mắng",catch,"wipe, scold"
302,205,7,chuyến,"vô địch, thua",trip,"champion, lose"
303,206,4,tiếng,"điều, fax",language,"thing, fax"
304,206,6,tom,"hợp đồng, tháo",Tom,"contract, remove"
305,207,4,ngủ,"hội nghị, ngồi",Sleep,"conference, sit"
306,207,6,đêm,"bận tâm, bạc",night,"bother, silver"
307,208,4,vui,"hỗn loạn, rẻ",fun,"chaotic, cheap"
308,208,2,mary,"tony, mari",Mary,"tony, mari"
309,209,11,cuộc đời,"câu chuyện, đời",lifetime,"story, lifetime"
310,210,9,mary,"tony, mari",Mary,"tony, mari"
311,210,4,chính đáng,"cấp bách, giả định",justifiable,"urgent, assumption"
312,211,7,anh hùng,"độc, cánh tay",hero,"toxic, arm"
313,211,3,đàn ông,"đàn ông, gợi cảm",man,"man, sexy"
314,212,5,tom,"hợp đồng, tháo",Tom,"contract, remove"
315,212,3,thông báo,"sai, sạch sẽ",Notification,"wrong, clean"
316,213,7,học,"đọc, môn",learn,"read, subject"
317,213,9,tiếng,"điều, fax",language,"thing, fax"
318,214,4,giúp,"làm, bị",help,"do, bag"
319,214,6,kinh doanh,"điều hành, thắng",business,"operate, win"
320,215,3,điện thoại,"học sinh, vận động viên",phone,"pupil, athlete"
321,215,5,mary,"tony, mari",Mary,"tony, mari"
322,216,1,có lẽ,"thứ, tiếp theo",maybe,"rank, next"
323,216,4,mary,"tony, mari",Mary,"tony, mari"
324,217,2,mua,"trồng, nắng",buy,"plant, sunny"
325,217,6,trái cây,"lễ hội, nhà cửa",fruit,"festival, home"
326,218,4,giận,"giận dữ, trách móc",angry,"furious, blame"
327,219,3,sống,"đời, tiện lợi",living,"lifetime, convenient"
328,219,5,nông thôn,"sân bay, học phí",countryside,"airport, tuition"
329,220,3,nói chuyện,"vẽ, chợ",talk,"draw, market"
330,221,5,mãi mãi,"chính thức, giả sử",forever,"official, suppose"
331,222,3,hạnh phúc,"khập khiễng, tiến bộ",happy,"lame, progress"
332,223,3,bàn,"phòng, đàn",table,"room, lit"
333,223,2,dọn,"điều hành, lập",do,"operate, establish"
334,224,5,bìa,"xô, lau",cover,"shove, wipe"
335,224,2,hộp,"trung, pha",box,"central, phase"
336,226,4,một chút,"tiếp theo, bắt đầu",a little bit,"next, begin"
337,226,7,tuần,"bận tâm, thống nhất",week,"bother, unified"
338,227,4,con trai,"ramu, susan",Boy,"ramu, susan"
339,227,10,giàu có,"mệt mỏi, đau khổ",rich,"tired, anguished"
340,228,2,hỏng,"cây, dậm",broken,"tree, stomp"
341,229,5,vải,"nó, hoa",fabric,"it, flower"
342,229,4,thước,"tấm, bút chì",ruler,"sheet, pencil"
343,230,5,muộn,"thầm, đối phó",late,"silent, cope"
344,231,5,thức ăn,"khủng bố, thuốc",food,"terrorism, medicine"
345,232,10,trường,"thuyền, vực",school,"boat, area"
346,232,6,tom,"hợp đồng, tháo",Tom,"contract, remove"
347,233,4,trường học,"nghĩa trang, giá cả",school,"cemetery, price"
348,235,10,đường,"điện, đất",road,"electricity, land"
349,235,7,tách,"hong, trò chuyện",cup,"hong, chat"
350,236,3,học,"đọc, môn",learn,"read, subject"
351,238,3,trẻ,"bay, nhu",young,"fly, soft"
352,238,10,gấp,"quá, ok",urgent,"too, ok"
353,239,3,chỉ đạo,"sinh, ôm",direct,"born, hug"
354,239,1,nữ,"giáo viên, nữ",female,"teacher, female"
355,240,6,nấm,"chim, tỏi",mushroom,"bird, garlic"
356,241,8,kiểm tra,"mặt nạ, theo dõi",check,"mask, monitor"
357,241,6,thất bại,"vội vã, thiệt hại",failure,"hurried, damages"
358,242,4,bánh,"báo, hình",cake,"newspaper, image"
359,242,7,đồng ý,"chắc chắn, khiếu nại",Agree,"sure, complaint"
360,243,4,nha sĩ,"thổ dân, radio",dentist,"native, radio"
361,243,2,đi,"mọi, mất",Go,"all, lost"
362,244,3,sống,"đời, tiện lợi",living,"lifetime, convenient"
363,244,5,quê,"phố, thủ đô",countryside,"street, capital"
364,245,6,điện ảnh,"nhà tù, nghệ thuật",cinema,"prison, art"
365,245,4,quanh,"lượng, giam",around,"quantity, prison"
366,246,4,bàn,"phòng, đàn",table,"room, lit"
367,248,2,đào,"chim, búp bê",dig,"bird, doll"
368,249,4,đô la,"kênh, ngành",dollar,"channel, branch"
369,249,6,ngân hàng,"rạp, hoa",bank,"cinema, flower"
370,250,4,nói chuyện,"vẽ, chợ",talk,"draw, market"
371,250,6,tom,"hợp đồng, tháo",Tom,"contract, remove"
372,251,4,thịt,"chim, lợn",meat,"bird, pig"
373,252,2,cảnh sát,"bệnh viện, tạp chí",police,"hospital, magazine"
374,252,6,lùi,"tránh, vở",backward,"avoid, notebook"
375,253,2,cộng hòa,"cộng hòa, ôn hòa",republic,"republic, mild"
376,253,6,bầu cử,"phục hồi, vui vẻ",elector,"recover, happy"
377,254,6,ngày mai,"giấu, chữa",Tomorrow,"hide, cure"
378,254,8,hôm nay,"sợ hãi, mùa",Today,"scared, season"
379,255,3,vị,"thức ăn, đài",taste,"food, radio"
380,255,5,ngon,"nó, vải",tasty,"it, fabric"
381,256,6,quốc gia,"vương quốc, đầu tiên",nation,"realm, firstly"
382,256,3,cấm,"đuổi, mở cửa",ban,"chase, open"
383,257,10,tiệc,"quyển, võng",party,"book, hammock"
384,257,6,sót,"ra hiệu, phí",miss,"signal, fee"
385,258,4,tự tử,"đêm, bận tâm",suicidal,"night, bother"
386,259,3,đói,"thất bại, nghèo",hungry,"failure, poor"
387,261,1,mẹ,"chồng, vợ",Mom,"husband, wife"
388,261,4,giết,"bạo lực, chôn",kill,"violent, bury"
389,262,8,golf,"sách, cảm hứng",golf,"book, inspiration"
390,262,3,coi,"bằng, cần",watch,"equal, need"
391,263,4,vang,"chế tạo, học sinh",Echoing,"manufacturing, pupil"
392,263,3,súng,"dơi, nhóc",gun,"bat, kid"
393,264,5,trở nên,"ngày nay, nhu cầu",become,"nowadays, demand"
394,264,6,dễ thương,"hứa, cách ly",cute,"promise, isolation"
395,266,4,nghỉ hè,"buồn tẻ, tiền lương",summer vacation,"dull, salary"
396,266,3,kỳ,"thay, bất động",period,"replace, motionless"
397,267,7,lo lắng,"trách móc, lo ngại",worry,"blame, fear"
398,268,3,đói,"thất bại, nghèo",hungry,"failure, poor"
399,268,4,chút,"bắt đầu, thêm",a little,"begin, more"
400,269,6,bí mật,"khám phá, điện tử",secret,"discover, electronic"
401,269,2,giấy,"chất lỏng, mặt nạ",paper,"liquid, mask"
402,271,5,tò mò,"hè, quan tâm",curious,"summer, care about"
403,271,8,chết,"ly dị, trung bình",die,"divorce, medium"
404,272,2,có nghĩa là,"có nghĩa, khẩu hiệu",means,"meaning, slogan"
405,273,8,bài tập,"quy mô, nghiện",exercise,"scale, addiction"
406,273,5,giúp,"làm, bị",help,"do, bag"
407,274,6,trôi chảy,"vội vàng, xét xử",fluent,"rush, trial"
408,274,3,mary,"tony, mari",Mary,"tony, mari"
409,275,5,phòng,"trại, tập trung",room,"camp, concentrate"
410,276,21,phát hiện,"dường như, ghi",detect,"seemingly, take note"
411,276,10,sợ,"mùa, cơn",scared,"season, attack"
412,277,4,bẩn,"kỹ lưỡng, tỉnh",dirty,"elaborate, conscious"
413,277,1,xe,"dự án, chuồng",car,"project, cage"
414,278,4,mary,"tony, mari",Mary,"tony, mari"
415,278,6,mua,"trồng, nắng",buy,"plant, sunny"
416,279,7,cửa,"khẩu, cơm",door,"speech, rice"
417,279,4,đứng,"khích lệ, sản xuất",stand,"encourage, manufacture"
418,280,7,thuận,"cắm, đạp",favor,"plug, bicycle"
419,280,6,đồng,"ép, chấn thương",copper,"squeeze, injury"
420,281,1,vứt,"nhét, đỗ",throw,"put, bean"
421,281,2,rác,"đèn pha, kích động",garbage,"headlight, agitation"
422,282,11,paris,"luis, avis",Paris,"luis, avis"
423,283,2,bố,"cha, vợ",dad,"father, wife"
