s_id,eng,viet,topic_name
40,Hand in your report by tomorrow,Nộp báo cáo của bạn vào ngày mai,Learning & Educational
41,He died two hours later.,Anh ta chết hai giờ sau đó .,Diaries & Daily Life
42,I've got much work to do at the moment.,Tôi có nhiều việc phải làm vào lúc này .,Diaries & Daily Life
43,We call our English teacher E.t.,Chúng tôi gọi giáo viên tiếng Anh của chúng tôi e . t .,Learning & Educational
44,"I have three weeks left until my departure, and so far I still don't have a visa","Tôi còn ba tuần nữa cho đến khi khởi hành , và cho đến nay tôi vẫn chưa có visa",Travel & Adventure
45,What would you like us to do with this?,Bạn muốn chúng tôi làm gì với điều này ?,Diaries & Daily Life
46,Tom's not in any danger,Tom không gặp nguy hiểm,News & Social Concern
47,You're not the only one who uses this computer,Bạn không phải là người duy nhất sử dụng máy tính này,Science & Technology
48,I sometimes hear my father singing in the bathroom,Thỉnh thoảng tôi nghe cha tôi hát trong phòng tắm,Music
49,The Ceo got paid in stock options,Ceo được trả tiền trong các lựa chọn cổ phiếu,Business & Entrepreneurs
50,Tom became depressed.,Tom trở nên chán nản .,Diaries & Daily Life
51,She called me many terrible things.,Cô ấy gọi cho tôi nhiều điều khủng khiếp .,Diaries & Daily Life
52,Are you watching your weight?,Bạn đang xem trọng lượng của bạn ?,News & Social Concern
53,I listened to music yesterday,Tôi đã nghe nhạc ngày hôm qua,Music
54,To distinguish right from wrong is difficult,Để phân biệt đúng sai là khó,Diaries & Daily Life
55,We need a car big enough for the whole family,Chúng tôi cần một chiếc xe đủ lớn cho cả gia đình,Diaries & Daily Life
56,Tom finally mustered up the courage to say what needed to be said,Tom cuối cùng cũng tập trung can đảm để nói những gì cần nói,News & Social Concern
57,We've all heard about you,Chúng ta đều đã nghe về bạn,News & Social Concern
58,I will do all I can for you.,Tôi sẽ làm tất cả những gì tôi có thể cho bạn,Diaries & Daily Life
59,I knew you'd want to be told.,Tôi biết bạn muốn được nói .,Diaries & Daily Life
60,The request was granted.,Yêu cầu đã được cấp,Diaries & Daily Life
61,We are to meet at seven.,Chúng ta sẽ gặp nhau lúc bảy giờ,Diaries & Daily Life
62,I wish you nothing but happiness.,Tôi chúc bạn không có gì ngoài hạnh phúc .,Diaries & Daily Life
63,"Mary asked Tom what he thought of her dress, but he knew better than to tell her what he really thought.","Mary hỏi tom anh nghĩ gì về chiếc váy của cô , nhưng anh biết rõ hơn là nói cho cô biết anh thực sự nghĩ gì .",Fashion & Style
64,It barely ever rains here.,Nó hầu như không bao giờ mưa ở đây .,Diaries & Daily Life
65,Tom and Mary fight all the time.,Tom và mary chiến đấu tất cả các thời gian .,Sports
66,I want you here.,Tôi muốn bạn ở đây .,Diaries & Daily Life
67,Sweet dreams!,Những giấc mơ ngọt ngào !,Diaries & Daily Life
68,"You're not going there by yourself, are you?","Bạn không đến đó một mình , phải không ?",Diaries & Daily Life
69,The new store is going to open next week.,Cửa hàng mới sẽ mở vào tuần tới .,Business & Entrepreneurs
70,Lucy likes playing tennis,Lucy thích chơi tennis,Sports
71,There were at least 100 people present,Có ít nhất 100 người có mặt,Diaries & Daily Life
72,I told Tom it was time to quit.,Tôi nói với tom rằng đã đến lúc bỏ việc .,Diaries & Daily Life
73,"Recently, you've been depressing to hang out with.","Gần đây , bạn đã chán nản đi chơi với .",Diaries & Daily Life
74,Tom is taking a bath in my bathtub.,Tom đang tắm trong bồn tắm của tôi .,Diaries & Daily Life
75,Skincare is important.,Chăm sóc da rất quan trọng,Fitness & Health
76,She was elected chairman of the committee,Cô được bầu làm chủ tịch ủy ban,News & Social Concern
77,Why is there a dog in our house?,Tại sao có một con chó trong nhà của chúng tôi ?,Diaries & Daily Life
78,I'm through with Mary.,Tôi thông qua với mary .,Diaries & Daily Life
79,It is a typical Gothic church.,Đó là một nhà thờ gothic điển hình .,Other Hobbies
80,Tom checks his email before he eats breakfast,Tom kiểm tra email của anh ấy trước khi anh ấy ăn sáng,Food & Dining
81,She cut in when we were talking,Cô ấy cắt ngang khi chúng tôi đang nói chuyện,Diaries & Daily Life
82,The old man spoke with me in French.,Ông già nói chuyện với tôi bằng tiếng Pháp .,Diaries & Daily Life
83,I thought this present might be from you,Tôi nghĩ món quà này có thể là từ bạn,Diaries & Daily Life
84,A well-made cup of coffee should require no cream or sugar,Một tách cà phê được pha chế tốt không cần kem hay đường,Food & Dining
85,I'm not a big spender.,Tôi không phải là người chi tiêu lớn .,Diaries & Daily Life
86,He will often sit and look at the sea for hours.,Anh ta sẽ thường ngồi và nhìn ra biển hàng giờ .,Diaries & Daily Life
87,It is next to impossible to go to school,Không thể đến trường,Learning & Educational
88,Why were you late this morning?,Tại sao bạn lại trễ sáng nay ?,Diaries & Daily Life
89,He was amazed at the news,Anh ấy đã rất ngạc nhiên trước tin tức,News & Social Concern
90,Tom doesn't know why Mary and John are fighting.,Tom không biết tại sao mary và john lại đánh nhau .,Sports
91,Tom and Mary seem to be fighting all the time.,Tom và mary dường như luôn chiến đấu,Sports
92,You are not to do that.,Bạn không được làm điều đó,Diaries & Daily Life
93,I call my sweetheart darling,Tôi gọi người yêu của tôi,Diaries & Daily Life
94,She hasn't phoned since she went to London.,Cô ấy đã không gọi điện kể từ khi cô ấy đến Luân đôn .,Diaries & Daily Life
95,I need to talk to Tom tonight about what's going to happen tomorrow,Tôi cần nói chuyện với tom tối nay về những gì sẽ xảy ra vào ngày mai,Diaries & Daily Life
96,"As to your final grade, that depends on your final examination.","Như lớp cuối cùng của bạn , điều đó phụ thuộc vào bài kiểm tra cuối cùng của bạn .",Learning & Educational
97,"Just as I was about to go out, it started raining",Ngay khi tôi chuẩn bị ra ngoài thì trời bắt đầu mưa,Diaries & Daily Life
98,Where were you yesterday?,Hôm qua bạn đã ở đâu ?,Diaries & Daily Life
99,Jefferson was not ready to give up his plan.,Jefferson chưa sẵn sàng từ bỏ kế hoạch của mình .,Sports
100,I'm not dating Tom,Tôi không hẹn hò với tom,Diaries & Daily Life
101,Tom and I don't get along with each other.,Tom và tôi không hợp nhau .,Relationships
102,Tom is abroad.,Tom là ở nước ngoài,Diaries & Daily Life
103,"Nothing ventured, nothing gained.","Không có gì mạo hiểm , không có gì đạt được .",Diaries & Daily Life
104,You can't win this,Bạn không thể giành được điều này,Sports
105,I've lived in Boston three years.,Tôi đã sống ở boston ba năm .,Diaries & Daily Life
106,Where would you go?,Bạn sẽ đi đâu ?,Diaries & Daily Life
107,She turned off the lights so she could enjoy the moonlight,Cô tắt đèn để có thể tận hưởng ánh trăng,Diaries & Daily Life
108,He told us that we should leave right away,Ông nói với chúng tôi rằng chúng ta nên rời đi ngay lập tức,Diaries & Daily Life
109,I wish I had a better memory,Tôi ước tôi có một trí nhớ tốt hơn,Diaries & Daily Life
110,My ears hurt,Tai tôi bị tổn thương,Diaries & Daily Life
111,He has gone to America,Anh ấy đã đi đến mỹ,News & Social Concern
112,You're agitated.,Bạn đang kích động .,News & Social Concern
113,"Tom wanted to stick around to see what would happen. Unfortunately, he had to leave.","Tom muốn bám xung quanh để xem điều gì sẽ xảy ra . Thật không may , anh phải rời đi .",Diaries & Daily Life
114,There is a threat of war,Có một mối đe dọa chiến tranh,News & Social Concern
115,He was only too glad to help us,Anh ấy chỉ rất vui khi giúp chúng tôi,Diaries & Daily Life
116,You are qualified to be a doctor,Bạn có đủ điều kiện để trở thành bác sĩ,Business & Entrepreneurs
117,The two had been enemies for a long time.,Cả hai đã là kẻ thù trong một thời gian dài .,Diaries & Daily Life
118,I've decided to quit my job,Tôi đã quyết định nghỉ việc,Diaries & Daily Life
119,I've been trying to find my keys.,Tôi đã cố gắng tìm chìa khóa của tôi .,Diaries & Daily Life
120,How long is the ticket good for?,Bao lâu là vé tốt ?,Diaries & Daily Life
121,I'll get this to Tom,Tôi sẽ lấy cái này cho tom,Diaries & Daily Life
122,He's not home,Anh ấy không ở nhà,Diaries & Daily Life
123,Tom has a house in Boston.,Tom có một ngôi nhà ở boston .,Diaries & Daily Life
124,I think Tom has serious problems at home.,Tôi nghĩ rằng tom có vấn đề nghiêm trọng ở nhà .,Sports
125,There was moonlight yesterday evening,Có ánh trăng tối hôm qua,Diaries & Daily Life
126,She is an expert when it comes to cooking.,Cô ấy là một chuyên gia khi nói đến nấu ăn .,Food & Dining
127,There is nothing more exciting than scuba diving,Không có gì thú vị hơn lặn biển,Travel & Adventure
128,I wish I could go.,Tôi ước tôi có thể đi .,Diaries & Daily Life
129,What have you been doing upstairs all this time?,Bạn đã làm gì trên lầu suốt thời gian này ?,Diaries & Daily Life
130,I'm sorry. I didn't mean it.,Tôi xin lỗi . tôi không có ý đó,Diaries & Daily Life
131,Tom isn't ready to do that,Tom chưa sẵn sàng để làm điều đó,Diaries & Daily Life
132,He was sentenced to death by firing squad.,Anh ta bị kết án tử hình bằng cách bắn đội hình .,News & Social Concern
133,Tom's thirtyish.,Tom của ba mươi .,Film Tv & Video
134,Tom tried to explain the situation to Mary,Tom cố gắng giải thích tình hình cho mary,Diaries & Daily Life
135,Why do you think they like it?,Tại sao bạn nghĩ rằng họ thích nó ?,Diaries & Daily Life
136,What did you have for lunch today?,Bạn đã có gì cho bữa ăn trưa ngày hôm nay ?,Food & Dining
137,Tom was driving too fast,Tom lái xe quá nhanh,Diaries & Daily Life
138,Tom is fishing now,Tom đang câu cá,Diaries & Daily Life
139,The physicist was aware of the potential danger of nuclear fusion.,Nhà vật lý đã nhận thức được mối nguy hiểm tiềm tàng của phản ứng tổng hợp hạt nhân .,Science & Technology
140,The boy mocked his friend for being a coward.,Cậu bé chế giễu bạn mình là một kẻ hèn nhát .,Diaries & Daily Life
141,The dog drank some water and went away.,Con chó uống một ít nước và đi mất .,Diaries & Daily Life
142,Please help me pick out a sweater which matches my new dress.,Hãy giúp tôi chọn ra một chiếc áo len phù hợp với chiếc váy mới của tôi .,Fashion & Style
143,They made me come here,Họ đã khiến tôi đến đây,Diaries & Daily Life
144,I have many things to do now.,Bây giờ tôi có nhiều việc phải làm,Diaries & Daily Life
145,"You crack me up, Tom",Bạn làm tôi đau lòng,Diaries & Daily Life
146,You need to get to a doctor.,Bạn cần phải đến bác sĩ,Fitness & Health
147,Tom likes taking pictures.,Tom thích chụp ảnh .,Diaries & Daily Life
148,Tom complained about the accommodations.,Tom phàn nàn về chỗ ở .,Diaries & Daily Life
149,In time he'll come to see the error of his ways,Trong thời gian anh ấy sẽ đến để xem lỗi của mình,Diaries & Daily Life
150,The problem is that Tom is just as scared as I am,Vấn đề là tom cũng sợ như tôi,Diaries & Daily Life
151,Tom sat down on a bench,Tom ngồi xuống một băng ghế,Sports
152,Can I just ask you a question?,Tôi có thể hỏi bạn một câu không ?,Diaries & Daily Life
153,Kyoto was the former capital of Japan,Kyoto là thủ đô cũ của Nhật bản,News & Social Concern
154,I want to give you a bicycle for your birthday,Tôi muốn tặng bạn một chiếc xe đạp cho ngày sinh nhật của bạn,Diaries & Daily Life
155,Thousands of foreigners visit Japan each year,Hàng ngàn người nước ngoài đến Nhật bản mỗi năm,Travel & Adventure
156,This work is simple enough for a child to do,Công việc này đủ đơn giản để một đứa trẻ làm,Learning & Educational
157,Mary wanted me to look the other way while she was getting dressed.,Mary muốn tôi nhìn theo cách khác trong khi cô ấy đang mặc quần áo .,Diaries & Daily Life
158,Tom has no one to talk to,Tom không có ai để nói chuyện,Diaries & Daily Life
159,Tom didn't think you'd understand.,Tom không nghĩ bạn sẽ hiểu .,Diaries & Daily Life
160,This is the same pencil that I lost the other day,Đây là cùng một cây bút chì mà tôi đã mất ngày khác,Diaries & Daily Life
161,Did they say anything about what Tom did?,Họ có nói gì về những gì tom đã làm không ?,Celebrity & Pop Culture
162,That's a good picture of Tom.,Đó là một hình ảnh tốt của tom .,Diaries & Daily Life
163,I arrived too early.,Tôi đến quá sớm,Diaries & Daily Life
164,Tom didn't have a good time at the party,Tom đã không có một thời gian vui vẻ tại bữa tiệc,Diaries & Daily Life
165,I do want to see you,Tôi muốn gặp bạn,Diaries & Daily Life
166,Is your job permanent?,Công việc của bạn là vĩnh viễn ?,Business & Entrepreneurs
167,Tom knew that Mary was rich.,Tom biết rằng mary rất giàu .,Celebrity & Pop Culture
168,I was on Flight 001 from Tokyo.,Tôi đã trên chuyến bay 001 từ tokyo .,Travel & Adventure
169,How did you get it in here?,Làm thế nào bạn có được nó ở đây ?,Diaries & Daily Life
170,Why couldn't you tell me?,Tại sao bạn không thể nói với tôi ?,Diaries & Daily Life
171,I think I hear them,Tôi nghĩ rằng tôi nghe thấy họ,Music
172,I need to see you in my office,Tôi cần gặp bạn trong văn phòng của tôi,Diaries & Daily Life
173,Does it make a big difference?,Nó làm cho một sự khác biệt lớn ?,Diaries & Daily Life
174,I ate breakfast at eight,Tôi đã ăn sáng lúc tám giờ,Food & Dining
175,Tom doesn't want to talk about it,Tom không muốn nói về nó,Diaries & Daily Life
176,Tom and Mary are getting married next weekend.,Tom và mary sẽ kết hôn vào cuối tuần tới .,Relationships
177,Tom tugged on Mary's arm,Tom kéo mạnh cánh tay của mary,Diaries & Daily Life
178,You might want to call Tom and have him pick you up.,Bạn có thể muốn gọi cho tom và nhờ anh ấy đón bạn .,Diaries & Daily Life
179,Tom picked up his bag and started to leave.,Tom nhặt túi của mình lên và bắt đầu rời đi .,Diaries & Daily Life
180,I wish I'd been born a boy.,Tôi ước tôi được sinh ra là một cậu bé .,Diaries & Daily Life
181,"You're not that old, Tom.","Bạn không già đến thế đâu , tom .",Diaries & Daily Life
182,Do you find that washing machine easy to use?,Bạn có thấy rằng máy giặt dễ sử dụng ?,Diaries & Daily Life
183,The radio is a bit loud,Radio hơi to,Music
184,He deals fairly with people.,Anh ấy đối xử công bằng với mọi người .,Diaries & Daily Life
185,The police are looking into it,Cảnh sát đang xem xét nó,News & Social Concern
186,Is that all you have to say?,Đó là tất cả những gì bạn phải nói ?,Diaries & Daily Life
187,He's just a diehard company man,Anh ta chỉ là một người đàn ông cực đoan,Business & Entrepreneurs
188,He did his duty.,Anh ấy đã làm nhiệm vụ của mình .,News & Social Concern
189,Did you advise him to go to the police?,Bạn đã khuyên anh ta đi cảnh sát ?,News & Social Concern
190,Tom has secretly been contacting Mary,Tom đã bí mật liên lạc với mary,Diaries & Daily Life
191,This show is too racy for teenagers.,Chương trình này quá hấp dẫn đối với thanh thiếu niên .,Film Tv & Video
192,They are as poor as can be,Họ nghèo đến mức có thể,News & Social Concern
193,Tom waited up,Tom chờ đợi,Diaries & Daily Life
194,Tom forgot to bring his camera.,Tom quên mang theo máy ảnh .,Diaries & Daily Life
195,I don't really know what this means,Tôi thực sự không biết điều này có nghĩa là gì,Diaries & Daily Life
196,Our class today will begin at 3 p.m.,Lớp học của chúng ta hôm nay sẽ bắt đầu lúc 3 giờ chiều,Learning & Educational
197,Why don't you talk to Tom?,Tại sao bạn không nói chuyện với tom ?,Diaries & Daily Life
198,Your book has changed my life,Cuốn sách của bạn đã thay đổi cuộc đời tôi,Learning & Educational
199,Who's going to clear up all this mess?,Ai sẽ dọn dẹp mớ hỗn độn này ?,News & Social Concern
200,They gave him a glass of Orange Juice laced with vodka,Họ đưa cho anh một ly nước cam pha với rượu vodka,Food & Dining
201,There's nothing in here but a lot of useless junk.,Không có gì ở đây ngoài rất nhiều rác vô dụng .,Diaries & Daily Life
202,She lived for a long time.,Cô ấy sống rất lâu,Diaries & Daily Life
203,Tom's parents told him not to get involved with Mary.,Cha mẹ của tom bảo anh đừng tham gia với mary .,Diaries & Daily Life
204,Tom stared at Mary icily,Tom nhìn chằm chằm vào mary icily,Diaries & Daily Life
205,I got up early enough to catch the first train,Tôi dậy đủ sớm để bắt chuyến tàu đầu tiên,Diaries & Daily Life
206,I've been studying French with Tom.,Tôi đã học tiếng Pháp với tom .,Learning & Educational
207,I could hardly get a wink of sleep last night,Tôi khó có thể ngủ được đêm qua,Diaries & Daily Life
208,Tom sensed that Mary wasn't happy,Tom cảm thấy mary không vui,Diaries & Daily Life
209,Tom says he wants to spend the rest of his life with you,Tom nói rằng anh ấy muốn dành phần còn lại của cuộc đời mình với bạn,Relationships
210,Tom has a good reason for not telling Mary what she wants to know.,Tom có một lý do chính đáng để không nói với mary những gì cô ấy muốn biết .,Diaries & Daily Life
211,Every man cannot be a hero.,Mỗi người đàn ông không thể là một anh hùng .,News & Social Concern
212,Would you inform Tom about the changes?,Bạn sẽ thông báo cho tom về những thay đổi ?,News & Social Concern
213,Can you remember the first word you learned in French?,Bạn có thể nhớ từ đầu tiên bạn học bằng tiếng Pháp không ?,Learning & Educational
214,He assisted me with my business,Anh ấy đã giúp tôi kinh doanh,Business & Entrepreneurs
215,Tom is on the phone with Mary now,Tom đang nghe điện thoại với mary,Diaries & Daily Life
216,Tom is probably more interested in Mary than in you.,Tom có lẽ quan tâm đến mary hơn là bạn .,Diaries & Daily Life
217,He bought vegetables and some fruit.,Anh mua rau và một ít trái cây .,Food & Dining
218,He got angry with me,Anh ấy đã giận tôi,Diaries & Daily Life
219,Tom didn't like living in the country,Tom không thích sống ở nông thôn,Diaries & Daily Life
220,Has Tom ever spoken to you?,Tom đã bao giờ nói chuyện với bạn chưa ?,Diaries & Daily Life
221,Let's stay friends forever,Hãy ở bên bạn mãi mãi,Diaries & Daily Life
222,We're always happy,Chúng tôi luôn hạnh phúc,Diaries & Daily Life
223,I cleared the table of the dishes.,Tôi dọn bàn ăn .,Food & Dining
224,This box is made of cardboard,Cái hộp này làm bằng bìa cứng,Diaries & Daily Life
225,Tom sprained his wrist,Tom bị bong gân cổ tay,Sports
226,Will you have a little time this weekend to help me with my French?,Bạn sẽ có một chút thời gian cuối tuần này để giúp tôi với tiếng Pháp của tôi ?,Diaries & Daily Life
227,He made his son a wealthy man,Ông đã biến con trai mình thành một người đàn ông giàu có,News & Social Concern
228,The radio is broken,Radio bị hỏng,Music
229,She bought six yards of cloth for a dress.,Cô mua sáu thước vải cho một chiếc váy .,Fashion & Style
230,They usually get home later than we do,Họ thường về nhà muộn hơn chúng ta,Diaries & Daily Life
231,This isn't food,Đây không phải là thức ăn,Food & Dining
232,I wouldn't be surprised if Tom got kicked out of school.,Tôi sẽ không ngạc nhiên nếu tom bị đuổi khỏi trường .,Youth & Student Life
233,Let's talk about your school,Hãy nói về trường học của bạn,Learning & Educational
234,It's not nice to talk like that.,Thật không hay khi nói như vậy .,Diaries & Daily Life
235,She brought me a cup of tea without sugar.,Cô ấy mang cho tôi một tách trà không đường .,Food & Dining
236,"The more you study, the more you know","Bạn càng học , bạn càng biết nhiều",Learning & Educational
237,I don't get many visitors,Tôi không có nhiều khách,Diaries & Daily Life
238,Some of these young people have legs twice as long as mine.,Một số người trẻ tuổi này có đôi chân dài gấp đôi tôi .,Diaries & Daily Life
239,The policewoman directed traffic.,Nữ cảnh sát chỉ đạo giao thông .,News & Social Concern
240,You can eat any mushroom once.,Bạn có thể ăn bất kỳ loại nấm nào một lần .,Food & Dining
241,How did you know I failed my French test?,Làm thế nào bạn biết tôi thất bại bài kiểm tra tiếng Pháp của tôi ?,Learning & Educational
242,"""Do you like cake?"" ""Yes, I do.""",""" bạn có thích bánh không ? "" "" Vâng tôi đồng ý . """,Diaries & Daily Life
243,Tom should have gone to the dentist yesterday,Tom nên đi đến nha sĩ ngày hôm qua,Fitness & Health
244,My father lives in the country,Bố tôi sống ở quê,Diaries & Daily Life
245,They all flocked around the movie star,Tất cả họ đổ xô quanh ngôi sao điện ảnh,Film Tv & Video
246,They sat down at every other desk,Họ ngồi xuống bàn khác,Diaries & Daily Life
247,Tom wants a word with you.,Tom muốn một lời với bạn .,Diaries & Daily Life
248,Continue digging.,Tiếp tục đào .,News & Social Concern
249,Tom has three million dollars in the bank,Tom có ba triệu đô la trong ngân hàng,Business & Entrepreneurs
250,Did you ever talk to Tom?,Bạn đã bao giờ nói chuyện với tom chưa ?,Diaries & Daily Life
251,I usually eat meat once a day.,Tôi thường ăn thịt mỗi ngày một lần .,Food & Dining
252,The policeman asked people to back off,Người cảnh sát yêu cầu mọi người lùi lại,News & Social Concern
253,The Republican candidate won the election,Ứng cử viên cộng hòa đã thắng cuộc bầu cử,News & Social Concern
254,I would rather you came tomorrow than today.,Tôi thà bạn đến vào ngày mai hơn hôm nay .,Diaries & Daily Life
255,It tastes really good,Nó có vị rất ngon,Food & Dining
256,Hunting is prohibited in national parks,Săn bắn bị cấm trong công viên quốc gia,News & Social Concern
257,There was a lot of food left over from the party,Có rất nhiều thức ăn còn sót lại từ bữa tiệc,Food & Dining
258,He commited suicide,Anh ấy đã tự tử,News & Social Concern
259,"If you're hungry, have something to eat","Nếu bạn đói , có gì để ăn",Food & Dining
260,I need to find out who to give this to,Tôi cần tìm ra ai để đưa cái này cho,Diaries & Daily Life
261,My mom will kill me.,Mẹ tôi sẽ giết tôi,Diaries & Daily Life
262,I don't consider myself to be a good golfer.,Tôi không coi mình là một tay golf giỏi .,Sports
263,Shots were heard in the distance.,Những tiếng súng vang lên từ xa .,News & Social Concern
264,How did you get to be so cute?,Làm thế nào mà bạn trở nên dễ thương như vậy ?,Diaries & Daily Life
265,Everybody likes to be appreciated.,Mọi người thích được đánh giá cao,Diaries & Daily Life
266,When does your summer vacation start?,Khi nào kỳ nghỉ hè của bạn bắt đầu ?,Travel & Adventure
267,You spend too much time worrying about things that don't matter,Bạn dành quá nhiều thời gian để lo lắng về những điều không quan trọng,Diaries & Daily Life
268,I'm not hungry at all.,Tôi không đói chút nào .,Food & Dining
269,Paper production remained a state secret for a long time.,Sản xuất giấy vẫn là một bí mật nhà nước trong một thời gian dài .,News & Social Concern
270,I thought you didn't need anybody.,Tôi nghĩ bạn không cần bất cứ ai .,Diaries & Daily Life
271,"Remember, curiosity killed the cat","Hãy nhớ rằng , sự tò mò đã giết chết con mèo",News & Social Concern
272,Tom used to be mean.,Tom từng có nghĩa là .,Diaries & Daily Life
273,It is very nice of you to help me with my homework.,Thật tốt khi bạn giúp tôi làm bài tập về nhà .,Learning & Educational
274,Tom didn't know Mary spoke French so fluently.,Tom không biết mary nói tiếng Pháp trôi chảy .,Diaries & Daily Life
275,Why are there people in the living room?,Tại sao có người trong phòng khách ?,Diaries & Daily Life
276,Something you should know about me is that my greatest fear in life is that people will find out that I'm poor.,Một điều bạn nên biết về tôi là nỗi sợ lớn nhất của tôi trong cuộc sống là mọi người sẽ phát hiện ra rằng tôi nghèo .,Diaries & Daily Life
277,Tom's car is dirty,Xe của tom bẩn,Diaries & Daily Life
278,Tom can tell Mary isn't buying it,Tom có thể nói với mary không mua nó,Diaries & Daily Life
279,"Tom and Mary were standing just outside the door, whispering to each other.","Tom và mary đang đứng ngay ngoài cửa , thì thầm với nhau .",Diaries & Daily Life
280,Can we reach a consensus on this issue?,Chúng ta có thể đạt được sự đồng thuận về vấn đề này ?,News & Social Concern
281,Tom took out the garbage,Tom vứt rác,News & Social Concern
282,She told me that she would go to Paris in August.,Cô ấy nói với tôi rằng cô ấy sẽ đến paris vào tháng tám .,Travel & Adventure
283,Why is my dad in the kitchen?,Tại sao bố tôi vào bếp,Diaries & Daily Life
284,They are eager to win the next game.,Họ háo hức để giành chiến thắng trong trò chơi tiếp theo .,Sports
285,Have you ever gone through the Straits of Magellan?,Bạn đã bao giờ đi qua eo biển của magellan chưa ?,Travel & Adventure
286,I'll get us some coffee.,Tôi sẽ lấy cho chúng tôi cà phê,Diaries & Daily Life
287,She drew a circle on a piece of paper with a pencil,Cô ấy vẽ một vòng tròn trên một tờ giấy bằng bút chì,Arts & Culture
288,Everything you said was false,Tất cả những gì bạn nói là sai,Diaries & Daily Life
289,I don't know who these people are,Tôi không biết những người này là ai,Diaries & Daily Life
290,I'm super hungry.,Tôi siêu đói .,Food & Dining
291,Red Mulligan has announced that he'll fight Rocky Luciano next month,Mulligan đỏ đã tuyên bố rằng anh ta sẽ chiến đấu với luciano đá vào tháng tới,Sports
292,I don't need an excuse.,Tôi không cần một cái cớ,Diaries & Daily Life
293,Don't look at the camera.,Đừng nhìn vào camera .,Diaries & Daily Life
294,I took his side in the argument,Tôi đứng về phía anh ấy trong cuộc tranh cãi,News & Social Concern
295,Didn't you hear the doorbell?,Bạn không nghe thấy tiếng chuông cửa à ?,Diaries & Daily Life
296,Is it nearby?,Nó có ở gần không,Diaries & Daily Life
